,look_down_beats,camera_metaphoric,other_beats,slide_None,slide_metaphoric,look_away_slide_beats,slide_deictic,look_down_None,camera_None,camera_beats,look_away_slide_metaphoric,other_None,look_away_slide_iconic,look_away_slide_None,slide_beats
look_down_beats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
camera_metaphoric,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
other_beats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
slide_None,0.0,0.0,0.0,0.14285714285714285,0.0,0.023809523809523808,0.0,0.0,0.5952380952380952,0.0,0.0,0.21428571428571427,0.0,0.023809523809523808,0.0
slide_metaphoric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_away_slide_beats,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
slide_deictic,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look_down_None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.0,0.2,0.0,0.2,0.0
camera_None,0.008,0.008,0.0,0.176,0.0,0.016,0.024,0.04,0.384,0.032,0.0,0.096,0.0,0.216,0.0
camera_beats,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.3125,0.1875,0.0625,0.0625,0.0625,0.125,0.0
look_away_slide_metaphoric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_None,0.0,0.0,0.0,0.15789473684210525,0.02631578947368421,0.0,0.0,0.02631578947368421,0.23684210526315788,0.0,0.0,0.2631578947368421,0.0,0.2894736842105263,0.0
look_away_slide_iconic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
look_away_slide_None,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.625,0.0625,0.0,0.08333333333333333,0.0,0.10416666666666667,0.0
slide_beats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
