time(s),beats,metaphoric,deictic,iconic
1, 1, 0, 0, 0
6, 1, 0, 0, 0
8, 1, 0, 0, 0
10, 1, 0, 0, 0
14, 1, 1, 0, 0
17, 0, 0, 0, 0
20, 1, 0, 1, 0
24, 1, 0, 1, 0
28, 1, 0, 0, 0
31, 1, 1, 0, 0
36, 1, 0, 0, 0
38, 1, 0, 1, 0
42, 1, 0, 0, 0
44, 1, 0, 0, 0
46, 1, 0, 0, 0
49, 1, 1, 0, 0
53, 1, 1, 0, 0
56, 1, 0, 0, 0
59, 1, 0, 0, 0
62, 1, 1, 1, 0
69, 1, 0, 0, 0
73, 1, 0, 0, 0
75, 1, 0, 0, 0
79, 1, 0, 0, 0
83, 0, 0, 0, 0
84, 1, 1, 0, 0
86, 1, 1, 1, 0
92, 0, 0, 0, 0
93, 1, 0, 1, 0
99, 1, 0, 1, 0
105, 1, 1, 0, 0
109, 1, 1, 0, 0
113, 1, 0, 0, 0
117, 1, 0, 1, 0
123, 1, 0, 1, 0
128, 0, 1, 0, 0
131, 1, 0, 0, 0
136, 1, 1, 0, 0
139, 1, 0, 0, 0
142, 1, 0, 1, 0
150, 0, 0, 0, 0
151, 1, 0, 0, 0
155, 1, 0, 0, 0
158, 0, 0, 1, 1
162, 1, 0, 0, 0
170, 1, 0, 0, 0
173, 0, 0, 0, 0
175, 1, 1, 0, 0
181, 0, 1, 0, 0
185, 1, 0, 1, 0
189, 1, 0, 0, 1
193, 1, 0, 1, 0
198, 1, 0, 0, 0
199, 1, 0, 0, 0
202, 1, 0, 0, 0
204, 1, 1, 0, 0
208, 0, 0, 1, 0
211, 1, 0, 0, 0
213, 1, 0, 0, 0
217, 1, 0, 1, 0
221, 0, 0, 1, 0
225, 1, 1, 0, 1
229, 1, 0, 1, 0
233, 1, 1, 0, 0
238, 1, 0, 0, 0
242, 1, 1, 0, 0
247, 1, 0, 0, 0
248, 1, 1, 0, 0
253, 1, 0, 1, 0
259, 1, 0, 0, 0
263, 0, 0, 0, 0
265, 1, 0, 1, 0
271, 0, 0, 0, 0
272, 1, 0, 1, 0
276, 0, 1, 0, 0
280, 1, 0, 0, 1
286, 0, 0, 0, 0
287, 1, 0, 0, 0
290, 1, 0, 0, 0
294, 1, 0, 0, 0
296, 1, 1, 0, 0
